user_id,event_timestamp,asset_class,feature_name,mixpanel_event
12926155,2025-10-01 00:00:00,gss,trade,trade_executed
13588602,2025-10-01 00:00:00,gold,trade,trade_executed
13072329,2025-10-01 00:00:00,fx,trade,trade_executed
13319010,2025-10-01 00:00:00,options,trade,trade_executed
12696652,2025-10-01 00:00:00,crypto,trade,trade_executed
13060875,2025-10-01 00:00:00,crypto,trade,trade_executed
12951154,2025-10-01 00:00:00,crypto,trade,trade_executed
13655177,2025-10-01 00:00:00,crypto,trade,trade_executed
12850286,2025-10-01 00:00:00,gold,trade,trade_executed
13325186,2025-10-01 00:00:00,crypto,trade,trade_executed
13073593,2025-10-01 00:00:00,gss,trade,trade_executed
13650013,2025-10-01 00:00:00,gold,trade,trade_executed
12977041,2025-10-01 00:00:00,fx,trade,trade_executed
13515200,2025-10-01 00:00:00,fx,trade,trade_executed
12729849,2025-10-01 00:00:00,gss,trade,trade_executed
12810045,2025-10-01 00:00:00,gss,trade,trade_executed
12994449,2025-10-01 00:00:00,gold,trade,trade_executed
13228789,2025-10-01 00:00:00,gold,trade,trade_executed
13592706,2025-10-01 00:00:00,crypto,trade,trade_executed
13130588,2025-10-01 00:00:00,gold,trade,trade_executed
13298810,2025-10-01 00:00:00,gold,trade,trade_executed
12669007,2025-10-01 00:00:00,gold,trade,trade_executed
13103475,2025-10-01 00:00:00,crypto,trade,trade_executed
12746312,2025-10-01 00:00:00,gold,trade,trade_executed
13111001,2025-10-01 00:00:00,crypto,trade,trade_executed
13288174,2025-10-01 00:00:00,crypto,trade,trade_executed
13637164,2025-10-01 00:00:00,gss,trade,trade_executed
13477926,2025-10-01 00:00:00,gold,trade,trade_executed
13431296,2025-10-01 00:00:00,crypto,trade,trade_executed
12671287,2025-10-01 00:00:00,gss,trade,trade_executed
13199992,2025-10-01 00:00:00,gold,trade,trade_executed
13659301,2025-10-01 00:00:00,crypto,trade,trade_executed
13249259,2025-10-01 00:00:00,gold,trade,trade_executed
12751830,2025-10-01 00:00:00,gss,trade,trade_executed
13664944,2025-10-01 00:00:00,gold,trade,trade_executed
12795427,2025-10-01 00:00:00,crypto,trade,trade_executed
12667556,2025-10-01 00:00:00,crypto,trade,trade_executed
12751079,2025-10-01 00:00:00,crypto,trade,trade_executed
13560653,2025-10-01 00:00:00,gold,trade,trade_executed
13465636,2025-10-01 00:00:00,gss,trade,trade_executed
12673110,2025-10-01 00:00:00,crypto,trade,trade_executed
12920621,2025-10-01 00:00:00,crypto,trade,trade_executed
13199650,2025-10-01 00:00:00,crypto,trade,trade_executed
12642305,2025-10-01 00:00:00,gss,trade,trade_executed
13615309,2025-10-01 00:00:00,gold,trade,trade_executed
13629494,2025-10-01 00:00:00,crypto,trade,trade_executed
13001936,2025-10-01 00:00:00,gold,trade,trade_executed
13536264,2025-10-01 00:00:00,gold,trade,trade_executed
13181529,2025-10-01 00:00:00,gold,trade,trade_executed
13078857,2025-10-01 00:00:00,crypto,trade,trade_executed
12770564,2025-10-01 00:00:00,gss,trade,trade_executed
12999353,2025-10-01 00:00:00,gold,trade,trade_executed
13234262,2025-10-01 00:00:00,crypto,trade,trade_executed
13186590,2025-10-01 00:00:00,crypto,trade,trade_executed
13468055,2025-10-01 00:00:00,fx,trade,trade_executed
13641291,2025-10-01 00:00:00,crypto,trade,trade_executed
12652206,2025-10-01 00:00:00,crypto,trade,trade_executed
12667193,2025-10-01 00:00:00,gss,trade,trade_executed
13356509,2025-10-01 00:00:00,options,trade,trade_executed
13391019,2025-10-01 00:00:00,options,trade,trade_executed
13240521,2025-10-01 00:00:00,gss,trade,trade_executed
12764973,2025-10-01 00:00:00,crypto,trade,trade_executed
13134006,2025-10-01 00:00:00,crypto,trade,trade_executed
13401313,2025-10-01 00:00:00,gss,trade,trade_executed
13661396,2025-10-01 00:00:00,gold,trade,trade_executed
13174740,2025-10-01 00:00:00,gss,trade,trade_executed
13561669,2025-10-01 00:00:00,fx,trade,trade_executed
13603162,2025-10-01 00:00:00,crypto,trade,trade_executed
12913001,2025-10-01 00:00:00,crypto,trade,trade_executed
12684389,2025-10-01 00:00:00,gss,trade,trade_executed
13382704,2025-10-01 00:00:00,crypto,trade,trade_executed
13057080,2025-10-01 00:00:00,crypto,trade,trade_executed
13577532,2025-10-01 00:00:00,crypto,trade,trade_executed
12694401,2025-10-01 00:00:00,crypto,trade,trade_executed
13515048,2025-10-01 00:00:00,crypto,trade,trade_executed
