user_id,month,aum_usd,aum_idr
13578464,2025-10-01 00:00:00,121.09,1973767
12755581,2025-10-01 00:00:00,11.47,186961
13348555,2025-10-01 00:00:00,43.31,705953
12885674,2025-10-01 00:00:00,22.17,361371
12842760,2025-10-01 00:00:00,105.53,1720139
12940871,2025-10-01 00:00:00,60.47,985661
13491970,2025-10-01 00:00:00,462.82,7543966
13103123,2025-10-01 00:00:00,112.25,1829675
13158564,2025-10-01 00:00:00,75.31,1227553
13488811,2025-10-01 00:00:00,2487.98,40554074
12727571,2025-10-01 00:00:00,322.82,5261966
13155367,2025-10-01 00:00:00,361.12,5886256
13486427,2025-10-01 00:00:00,553.84,9027592
13303001,2025-10-01 00:00:00,505.85,8245355
13206354,2025-10-01 00:00:00,105.41,1718183
13629457,2025-10-01 00:00:00,273.75,4462125
13444669,2025-10-01 00:00:00,19.88,324044
12913261,2025-10-01 00:00:00,1277.46,20822598
12819921,2025-10-01 00:00:00,267.6,4361880
13090430,2025-10-01 00:00:00,526.41,8580483
13440769,2025-10-01 00:00:00,28.13,458519
13115111,2025-10-01 00:00:00,122.5,1996750
13210829,2025-10-01 00:00:00,73.62,1200006
12882490,2025-10-01 00:00:00,1955.41,31873183
13427711,2025-10-01 00:00:00,746.93,12174959
12690783,2025-10-01 00:00:00,696.13,11346919
13323648,2025-10-01 00:00:00,258.48,4213224
13227349,2025-10-01 00:00:00,890.81,14520203
13488041,2025-10-01 00:00:00,995.66,16229258
12720025,2025-10-01 00:00:00,146.04,2380452
13181186,2025-10-01 00:00:00,1152.22,18781186
13191698,2025-10-01 00:00:00,142.19,2317697
13641831,2025-10-01 00:00:00,116.07,1891941
13475826,2025-10-01 00:00:00,40.59,661617
12971384,2025-10-01 00:00:00,327.64,5340532
13195227,2025-10-01 00:00:00,104.58,1704654
13182410,2025-10-01 00:00:00,132.4,2158120
12912399,2025-10-01 00:00:00,40.1,653630
12676527,2025-10-01 00:00:00,142.2,2317860
13583186,2025-10-01 00:00:00,937.24,15277012
12753898,2025-10-01 00:00:00,192.18,3132534
12779943,2025-10-01 00:00:00,5004.71,81576773
13197509,2025-10-01 00:00:00,1116.01,18190963
12760280,2025-10-01 00:00:00,75.94,1237822
13450149,2025-10-01 00:00:00,1169.75,19066925
13138770,2025-10-01 00:00:00,102.93,1677759
13629938,2025-10-01 00:00:00,120.41,1962683
13463308,2025-10-01 00:00:00,91.16,1485908
13149723,2025-10-01 00:00:00,369.9,6029370
13182961,2025-10-01 00:00:00,1027.64,16750532
12932415,2025-10-01 00:00:00,76.38,1244994
13610632,2025-10-01 00:00:00,133.45,2175235
12706579,2025-10-01 00:00:00,1140.4,18588520
12682960,2025-10-01 00:00:00,230.8,3762040
